1569,Number of Ways to Reorder Array to Get Same BST,Hard,algorithms
1568,Minimum Number of Days to Disconnect Island,Medium,algorithms
1567,Maximum Length of Subarray With Positive Product,Medium,algorithms
1566,Detect Pattern of Length M Repeated K or More Times,Easy,algorithms
1565,Unique Orders and Customers Per Month,Easy,database
1564,Put Boxes Into the Warehouse I,Medium,algorithms
1563,Stone Game V,Hard,algorithms
1562,Find Latest Group of Size M,Medium,algorithms
1561,Maximum Number of Coins You Can Get,Medium,algorithms
1560,Most Visited Sector ina Circular Track,Easy,algorithms
1559,Detect Cycles in 2D Grid,Hard,algorithms
1558,Minimum Numbers of Function Calls to Make Target Array,Medium,algorithms
1557,Minimum Number of Vertices to Reach All Nodes,Medium,algorithms
1556,Thousand Separator,Easy,algorithms
1555,Bank Account Summary,Medium,database
1554,Strings Differ by One Character,Medium,algorithms
1553,Minimum Number of Days to Eat N Oranges,Hard,algorithms
1552,Magnetic Force Between Two Balls,Medium,algorithms
1551,Minimum Operations to Make Array Equal,Medium,algorithms
1550,Three Consecutive Odds,Easy,algorithms
1549,The Most Recent Orders for Each Product,Medium,database
1548,The Most Similar Path in a Graph,Hard,algorithms
1547,Minimum Cost to Cut a Stick,Hard,algorithms
1546,Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,Medium,algorithms
1545,Find Kth Bit in Nth Binary String,Medium,algorithms
1544,Make The String Great,Easy,algorithms
1543,Fix Product Name Format,Easy,database
1542,Find Longest Awesome Substring,Hard,algorithms
1541,Minimum Insertions to Balance a Parentheses String,Medium,algorithms
1540,Can Convert String in K Moves,Medium,algorithms
1539,Kth Missing Positive Number,Easy,algorithms
1538,Guess the Majority in a Hidden Array,Medium,algorithms
1537,Get the Maximum Score,Hard,algorithms
1536,Minimum Swaps to Arrange a Binary Grid,Medium,algorithms
1535,Find the Winner of an Array Game,Medium,algorithms
1534,Count Good Triplets,Easy,algorithms
1533,Find the Index of the Large Integer,Medium,algorithms
1532,The Most Recent Three Orders,Medium,database
1531,String Compression II,Hard,algorithms
1530,Number of Good Leaf Nodes Pairs,Medium,algorithms
1529,Bulb Switcher IV,Medium,algorithms
1528,Shuffle String,Easy,algorithms
1527,Patients With a Condition,Easy,database
1526,Minimum Number of Increments on Subarrays to Form a Target Array,Hard,algorithms
1525,Number of Good Ways to Split a String,Medium,algorithms
1524,Number of Sub-arrays With Odd Sum,Medium,algorithms
1523,Count Odd Numbers in an Interval Range,Easy,algorithms
1522,Diameter of N-Ary Tree,Medium,algorithms
1521,Find a Value of a Mysterious Function Closest to Target,Hard,algorithms
1520,Maximum Number of Non-Overlapping Substrings,Hard,algorithms
1519,Number of Nodes in the Sub-Tree With the Same Label,Medium,algorithms
1518,Water Bottles,Easy,algorithms
1517,Find Users With Valid E-Mails,Easy,database
1516,Move Sub-Tree of N-Ary Tree,Hard,algorithms
1515,Best Position for a Service Centre,Hard,algorithms
1514,Path with Maximum Probability,Medium,algorithms
1513,Number of Substrings With Only 1s,Medium,algorithms
1512,Number of Good Pairs,Easy,algorithms
1511,Customer Order Frequency,Easy,database
1510,Stone Game IV,Hard,algorithms
1509,Minimum Difference Between Largest and Smallest Value in Three Moves,Medium,algorithms
1508,Range Sum of Sorted Subarray Sums,Medium,algorithms
1507,Reformat Date,Easy,algorithms
1506,Find Root of N-Ary Tree,Medium,algorithms
1505,Minimum Possible Integer After at Most K Adjacent Swaps On Digits,Hard,algorithms
1504,Count Submatrices With All Ones,Medium,algorithms
1503,Last Moment Before All Ants Fall Out of a Plank,Medium,algorithms
1502,Can Make Arithmetic Progression From Sequence,Easy,algorithms
1501,Countries You Can Safely Invest In,Medium,database
1500,Design a File Sharing System,Medium,algorithms
1499,Max Value of Equation,Hard,algorithms
1498,Number of Subsequences That Satisfy the Given Sum Condition,Medium,algorithms
1497,Check If Array Pairs Are Divisible by k,Medium,algorithms
1496,Path Crossing,Easy,algorithms
1495,Friendly Movies Streamed Last Month,Easy,database
1494,Parallel Courses II,Hard,algorithms
1493,Longest Subarray of 1's After Deleting One Element,Medium,algorithms
1492,The kth Factor of n,Medium,algorithms
1491,Average Salary Excluding the Minimum and Maximum Salary,Easy,algorithms
1490,Clone N-ary Tree,Medium,algorithms
1489,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,Hard,algorithms
1488,Avoid Flood in The City,Medium,algorithms
1487,Making File Names Unique,Medium,algorithms
1486,XOR Operation in an Array,Easy,algorithms
1485,Clone Binary Tree With Random Pointer,Medium,algorithms
1484,Group Sold Products By The Date,Easy,database
1483,Kth Ancestor of a Tree Node,Hard,algorithms
1482,Minimum Number of Days to Make m Bouquets,Medium,algorithms
1481,Least Number of Unique Integers after K Removals,Medium,algorithms
1480,Running Sum of 1d Array,Easy,algorithms
1479,Sales by Day of the Week,Hard,database
1478,Allocate Mailboxes,Hard,algorithms
1477,Find Two Non-overlapping Sub-arrays Each With Target Sum,Medium,algorithms
1476,Subrectangle Queries,Medium,algorithms
1475,Final Prices With a Special Discount in a Shop,Easy,algorithms
1474,Delete N Nodes After M Nodes of a Linked List,Easy,algorithms
1473,Paint House III,Hard,algorithms
1472,Design Browser History,Medium,algorithms
1471,The k Strongest Values in an Array,Medium,algorithms
1470,Shuffle the Array,Easy,algorithms
1469,Find All The Lonely Nodes,Easy,algorithms
1468,Calculate Salaries,Medium,database
1467,Probability of a Two Boxes Having The Same Number of Distinct Balls,Hard,algorithms
1466,Reorder Routes to Make All Paths Lead to the City Zero,Medium,algorithms
1465,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,Medium,algorithms
1464,Maximum Product of Two Elements in an Array,Easy,algorithms
1463,Cherry Pickup II,Hard,algorithms
1462,Course Schedule IV,Medium,algorithms
1461,Check If a String Contains All Binary Codes of Size K,Medium,algorithms
1460,Make Two Arrays Equal by Reversing Sub-arrays,Easy,algorithms
1459,Rectangles Area,Medium,database
1458,Max Dot Product of Two Subsequences,Hard,algorithms
1457,Pseudo-Palindromic Paths in a Binary Tree,Medium,algorithms
1456,Maximum Number of Vowels in a Substring of Given Length,Medium,algorithms
1455,Check If a Word Occurs As a Prefix of Any Word in a Sentence,Easy,algorithms
1454,Active Users,Medium,database
1453,Maximum Number of Darts Inside of a Circular Dartboard,Hard,algorithms
1452,People Whose List of Favorite Companies Is Not a Subset of Another List,Medium,algorithms
1451,Rearrange Words in a Sentence,Medium,algorithms
1450,Number of Students Doing Homework at a Given Time,Easy,algorithms
1449,Form Largest Integer With Digits That Add up to Target,Hard,algorithms
1448,Count Good Nodes in Binary Tree,Medium,algorithms
1447,Simplified Fractions,Medium,algorithms
1446,Consecutive Characters,Easy,algorithms
1445,Apples & Oranges,Medium,database
1444,Number of Ways of Cutting a Pizza,Hard,algorithms
1443,Minimum Time to Collect All Apples in a Tree,Medium,algorithms
1442,Count Triplets That Can Form Two Arrays of Equal XOR,Medium,algorithms
1441,Build an Array With Stack Operations,Easy,algorithms
1440,Evaluate Boolean Expression,Medium,database
1439,Find the Kth Smallest Sum of a Matrix With Sorted Rows,Hard,algorithms
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Medium,algorithms
1437,Check If All 1's Are at Least Length K Places Away,Medium,algorithms
1436,Destination City,Easy,algorithms
1435,Create a Session Bar Chart,Easy,database
1434,Number of Ways to Wear Different Hats to Each Other,Hard,algorithms
1433,Check If a String Can Break Another String,Medium,algorithms
1432,Max Difference You Can Get From Changing an Integer,Medium,algorithms
1431,Kids With the Greatest Number of Candies,Easy,algorithms
1430,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,Medium,algorithms
1429,First Unique Number,Medium,algorithms
1428,Leftmost Column with at Least a One,Medium,algorithms
1427,Perform String Shifts,Easy,algorithms
1426,Counting Elements,Easy,algorithms
1425,Constrained Subsequence Sum,Hard,algorithms
1424,Diagonal Traverse II,Medium,algorithms
1423,Maximum Points You Can Obtain from Cards,Medium,algorithms
1422,Maximum Score After Splitting a String,Easy,algorithms
1421,NPV Queries,Medium,database
1420,Build Array Where You Can Find The Maximum Exactly K Comparisons,Hard,algorithms
1419,Minimum Number of Frogs Croaking,Medium,algorithms
1418,Display Table of Food Orders in a Restaurant,Medium,algorithms
1417,Reformat The String,Easy,algorithms
1416,Restore The Array,Hard,algorithms
